mtime,AO,BQ,BU,C,CR,DO,DU,HW,IL,LP,LQ,NR,QS,SZ,WX
2021-11-01T00:00,7986362,7117316,6535541,5805182,7590459,6795891,7094383,7244514,8343248,7529890,9091152,9308187,7599075,8998216,10013021
2021-11-01T00:05,7761258,7812657,7003900,7958989,10736670,7639725,6904353,8452692,7610135,8963394,8549561,8260410,11095986,11414603,7813249
2021-11-01T00:10,7787222,9397888,7450165,7947609,7124055,9382971,7181070,9758240,8828790,11608754,7672600,5418062,7741704,7896378,8465461
2021-11-01T00:15,7420502,6618803,5960155,10089621,7044252,7031491,10493554,7665352,10765769,7912109,7070757,6505647,8487306,7167298,7345542
2021-11-01T00:20,8362677,10223778,9645814,8446750,8672343,6122264,9010848,8567764,7282703,8771508,6530836,8454759,8588125,6484943,8114225
2021-11-01T00:25,6348347,7701419,10584890,8117377,8119058,6881988,8285651,7945736,5046334,8791220,7707817,10696433,8694792,6675201,7817252
2021-11-01T00:30,8289349,8371392,7144592,7919730,9437041,8285413,7649663,9600560,6485109,7362217,7616028,8294858,7915062,5973684,7249443
2021-11-01T00:35,6944893,10057042,10801799,8040778,8396283,8239795,10356592,7768685,7902527,8945760,9805864,8389500,8888205,8708283,9073945
2021-11-01T00:40,7271662,7600360,8212382,9518470,6816625,9078860,8871101,8631313,7892651,9481205,9369463,9432479,8535739,9178830,9337516
2021-11-01T00:45,6318351,8274518,8853654,8355646,6532861,7693254,6677683,11616703,8938658,6291803,8199634,8620933,8010340,6973024,9959590
2021-11-01T00:50,8683015,7586211,8927823,8242961,7605370,7710701,7189528,8126159,7635142,8553124,8401321,7482289,8661350,8952877,7385244
2021-11-01T00:55,8866159,7729107,10264976,9784320,8792557,6714785,8904411,8934509,7627105,7443707,9668432,9563946,8564667,9669232,7065482
2021-11-01T01:00,6775480,7578262,7774831,8637113,7809107,7662072,7017102,9919480,7158159,10007558,9039311,7552105,9583108,6562753,7946050
2021-11-01T01:05,8137967,8691804,8327118,8575960,7280270,9610946,8297574,9626223,7793030,7238503,7811068,9144814,8413629,9693965,9469440
2021-11-01T01:10,9074013,8340208,9127766,8600542,9845625,7377570,9520180,8663159,9144788,7982145,9619879,5605035,7738630,9492725,9092462
2021-11-01T01:15,7939358,7608330,9013071,7867174,9211860,7537544,7734748,7928976,9105288,8035418,7477922,7093280,8646065,7818751,7154004
2021-11-01T01:20,7633445,8522904,11108495,9376780,9515938,6060760,9258080,8748101,9369366,9058924,9087024,8353180,8489017,7645074,10114354
2021-11-01T01:25,5965708,5996303,9090411,7585797,7826340,6328177,7938589,8222707,8728465,7420391,8796697,6542355,8235373,8894887,8306309
2021-11-01T01:30,8633190,7620944,7866499,7313837,7589284,8693912,8482076,7210166,8054973,9505638,7407971,8359246,7728217,7820644,7793783
2021-11-01T01:35,7480778,6910430,6907063,9368419,8641055,9654401,8747627,6884415,8726038,7002859,7654742,7768720,9131418,7638026,9466165
2021-11-01T01:40,8725714,6863854,8617611,8496307,8439442,8264089,8632039,6937006,8315763,9781598,9626256,7035352,7917412,7218160,8915514
2021-11-01T01:45,5951186,9334407,9275455,8933241,7122909,9482044,9252448,9423592,6788323,8512956,10874350,7576811,7782104,9873717,8755994
2021-11-01T01:50,8479220,10721594,9439177,8385701,7803996,6606508,9361854,6145192,9671619,8135967,8512985,5563272,8328722,9005610,7999551
2021-11-01T01:55,8298926,7595609,8921494,7934302,8806567,8673459,8823605,10696055,8462736,9547558,7839843,10818648,9439537,9162682,8208009
2021-11-01T02:00,9823613,7756928,7741476,7709735,7470811,8276239,10390650,8561098,7995859,7789129,7843956,8292710,7758695,6903031,8846835
2021-11-01T02:05,7433814,9643879,9265511,8610952,8435304,8155152,8020237,6940249,9580246,8869132,7915820,8068327,9061833,7434410,7944332
2021-11-01T02:10,6300897,6656449,5883635,8191509,6038715,9092965,10428826,9611861,8305820,8791400,7791920,7239434,7236474,6457870,7868228
2021-11-01T02:15,6395269,8084383,6884367,9852481,8550158,7092910,8095990,8493619,9328308,8407855,8195907,8085992,8037852,8191804,8350157
2021-11-01T02:20,9938064,8849816,8291243,7580938,6309572,5347794,8942213,7857274,5835338,9138493,10055595,8205419,10834506,6317943,8220889
2021-11-01T02:25,7974236,10154489,8318709,7965972,8284388,8049553,8463674,7087396,7674602,7080505,9026991,8963605,8073514,8639912,8401388
2021-11-01T02:30,7733239,9768671,7330340,7792875,8844277,7452209,7979894,7772398,7973727,7373522,7766938,9241612,7907129,7403941,5819851
2021-11-01T02:35,7246657,7122256,6517422,8208122,8761173,7839155,7204529,9538723,7581650,7032085,7213492,7507968,7984200,7261687,7792012
2021-11-01T02:40,6607366,8551123,8992482,6876579,8118486,9624098,5993684,6027201,8860326,8503152,7655378,7344243,6364157,8148105,8248403
2021-11-01T02:45,9850818,8332271,9297209,7668282,7430427,7742469,7285370,6857477,8025804,7471572,8152030,8078233,7475736,7576917,6268295
2021-11-01T02:50,7297617,8101386,9145003,9185488,8385775,7020781,9344724,6735429,8549008,9011600,7824672,10673281,7130968,9985977,9986133
2021-11-01T02:55,8863219,11067311,9598298,7755571,7373516,7845998,10089911,7879999,7847375,8687051,7181286,6512164,8813506,6757111,10630430
2021-11-01T03:00,7288408,7642907,5958415,10487966,7607693,8042671,8700736,7725011,7739167,7966930,7919118,7330888,7561877,8663096,8055602
2021-11-01T03:05,8439173,7894971,7233774,5971882,9959302,6998701,7734219,7673074,7012334,7801638,5301799,8299563,8066045,7827774,7088619
2021-11-01T03:10,8669326,7652304,8066234,8329005,10000088,7662758,7971635,8416431,6520078,7734172,6457606,9238734,8717473,8738193,8490029
2021-11-01T03:15,7503210,7566822,7013145,8452553,7392894,7982082,6807570,7021683,8972197,8502506,8139375,7880672,8746493,8612780,9791314
2021-11-01T03:20,9453228,8221730,8925573,8541118,7803305,7708991,8207958,7240609,8445176,7734865,8966093,6682070,8690969,9324691,6365010
2021-11-01T03:25,8565787,7245692,6931273,8756781,7244764,7329855,7307858,7620020,6733837,8778109,6360184,8769943,8911268,8705843,6772234
2021-11-01T03:30,6882231,7406573,8893196,8671895,9040043,7492392,7739366,8046605,8465104,7400678,8999900,8517559,7189755,7887087,8167355
