site_name,bandwidth
14,2399219
16,2249020
19,2448473
23,2228862
27,1842527
36,2326441
39,2032851
47,2401656
AK,2270402
AR,1986731
AX,2178992
Ai,2201533
B1,2229297
B5,2164771
BD,1995161
BG,2141069
Bh,2066123
Bt,1884976
Bw,1957148
CQ,2234076
CX,2081667
Ch,2333951
Ck,2019407
Cn,2196389
D4,2261838
D5,1888137
DP,2183266
DT,2362495
DY,2299061
Dd,2327555
Do,2268233
EQ,1960558
Eg,2017859
Ek,2076545
FN,2141922
FR,2114964
FT,2035034
Fi,2508802
Fr,2185870
G5,2280809
GM,1950168
Gi,2336563
Gs,2031975
Gy,1976250
H2,2118092
HI,2375052
HM,1944251
I2,2131212
I4,2223818
IM,1974031
IQ,2139410
IV,2359455
Ie,2016159
J4,2210529
JO,1894536
JR,2375251
JZ,2004096
Jb,2083853
K3,1991046
K9,2200286
Kj,2123499
L8,2222172
L9,1898506
Ld,2235122
Le,2016571
Lk,1910005
Md,2186341
NU,2142482
NW,2198856
Ne,2147294
Np,2297772
Nt,2030441
Ny,2017143
O5,2176854
O7,2382995
Oa,2304774
Od,2170208
Oz,2073333
Qj,2238946
Rh,1923722
Rq,2224471
S1,2331053
S9,2219550
Sa,1896140
Sd,2072912
Sf,2096625
T2,1904741
Tx,2092505
U4,1976689
Uf,2018510
Ug,2194316
Vf,2291074
We,1931446
Wf,2284399
Wo,2108974
Xk,1968289
Xr,2347088
Xy,2058975
Y8,2075925
Yj,2008537
Z6,2158447
Zf,2310177
Zg,2146303
Zi,2159716
Zu,2075007
a3,2124012
aj,2081338
ao,1947898
b3,2018919
bk,2289250
bv,2012246
c8,2197807
cj,1812433
ck,2122977
cq,2218647
di,1899815
dr,2112840
dv,1906115
em,2000371
en,2318479
eq,2026672
f1,2368756
f3,2154926
fw,2096808
gi,2356052
i8,1943309
is,2033428
iu,2424519
ix,2053344
j4,2018667
jn,2047852
jo,2207778
k2,2045286
k3,2087228
km,2002198
l3,2223196
m8,2137926
ns,2211206
p4,2188853
pq,2032743
q1,2043139
qr,2164461
qt,2093788
rt,2058243
s2,2213616
uy,2084768
w8,2085883
x3,2309121
y5,2298763
z6,2096586
