mtime,AL,DG,DJ,DS,FL,FR,FU,FX,GR,HV,IM,IS,KR,LM,LT,LZ,MR,MT,NS,NY,OQ,OR,OS,OZ,PS,QY,R,RU,RX,SX
2021-11-01T00:00,2422,1906,3412,5226,4355,2616,3079,2826,3761,2750,3255,4746,5317,1945,4108,4311,7241,4032,2367,2987,3437,5387,3849,6894,3779,2772,2403,3009,3774,3191
2021-11-01T00:05,16192,19816,23232,45728,40896,31608,16744,25360,26832,29304,32488,35848,43400,23680,35448,40480,34872,33224,26632,27816,22496,35304,40768,49448,34528,26560,19824,29720,35480,31704
2021-11-01T00:10,22200,15544,28328,19312,31016,28560,10024,21760,30224,22560,37800,30640,39328,25704,27728,30024,40392,35232,26408,21368,34952,38248,34384,51600,30008,21744,25304,20592,26920,27792
2021-11-01T00:15,21200,15664,27944,40776,32528,26536,16392,33064,28552,29248,39208,36128,38376,23416,29552,24720,49264,45368,22088,25040,25000,31592,35472,41672,29008,17656,18600,15920,26168,21040
2021-11-01T00:20,13036,10400,13224,19968,13004,16272,8128,8748,0,10428,12100,18280,17680,10044,10540,21992,24584,13736,13592,13496,13292,12360,22464,20956,0,11628,8552,7316,14632,18016
2021-11-01T00:25,27490,25970,31730,42190,46480,29170,14750,29840,42130,31290,66140,46800,32580,24820,29800,38180,51610,37680,63590,34920,25480,40130,44600,61820,38010,33890,22730,37570,41390,35560
2021-11-01T00:30,9536,10412,16008,19204,18552,17580,8932,10144,11420,17688,12868,12056,20548,13924,10616,19612,26596,13880,18788,10212,9108,18536,15896,21320,16820,12780,4408,16852,12708,12512
2021-11-01T00:35,16335,32589,32427,37098,41598,28899,29610,19971,31365,34488,37368,37440,33093,12915,32391,34956,54171,37548,39807,32175,40311,36270,35226,33948,35622,17055,20196,29079,29817,23508
2021-11-01T00:40,31240,16450,26130,65730,46330,34740,28250,33810,45960,31180,28510,31580,45270,28950,27460,37620,55830,40330,33710,35930,28240,44470,44200,47780,38100,24290,18370,27160,44640,40100
2021-11-01T00:45,18684,17412,19524,31968,28248,28236,11478,18750,21264,20628,22890,19302,21840,17940,12654,27954,34572,28506,23682,20970,22146,23718,27912,34770,23886,14688,11280,20418,27666,21324
2021-11-01T00:50,23823,24795,17352,54783,38745,32976,18315,25947,33111,36378,37557,41751,22734,29430,43560,35343,37638,53496,38340,24723,28359,38088,49644,55422,31932,19737,27675,34227,34326,31167
2021-11-01T00:55,10536,19128,18600,56480,34168,0,20568,31248,31040,16616,35032,23792,31760,28944,28712,36288,41056,38944,25984,24352,22192,32808,25456,48512,25056,22648,12064,22280,37752,20752
2021-11-01T01:00,7098,7527,9405,16476,9507,9060,5628,8814,8478,9579,15651,7956,11559,9453,6126,16641,12474,13803,10074,11757,7638,10911,0,15012,9135,10356,4779,8775,9318,8955
2021-11-01T01:05,1334,2295,4230,4524,4785,3907,2561,3164,3772,3415,5535,5504,5159,3201,3267,4503,6296,5780,3855,2898,3189,4406,4624,5575,2355,4043,2161,2802,3082,3176
2021-11-01T01:10,12198,13866,14616,31896,22680,25980,13170,20148,23790,17448,25992,20202,26574,22998,18582,32616,31338,33624,25512,21306,24714,29442,29496,31980,24738,16458,9600,15282,19368,24570
2021-11-01T01:15,4776,4194,6406,10872,7250,8864,4726,6056,8250,6318,7334,7368,6522,6904,4816,10442,11216,7568,8454,10962,7250,12504,8864,10148,4900,6180,5760,7376,6592,7588
2021-11-01T01:20,29457,25272,17595,48015,32949,33543,29817,31095,42093,22203,28719,35208,36081,30474,29367,43794,45081,40383,41742,26541,22374,26766,41319,36576,38520,31356,28962,21726,35748,30267
